номер  п/п,Артикул,Наименование,Описание,Ед. изм.,Кол-во листов,Цена,Цена с НДС,РРЦ,Формат,Класс,Материал,"Карты, стенды, таблицы",Эдустронг,ПУНКТ ПРИКАЗА 1
281,,ЛИТЕРАТУРА,,,,,,,,Литература,,,,
282,7392-ФИЛ00028,"Таблицы учебно-демонстрационные ""Литература 10 класс""","Учебный альбом из 12 листов. Формат 68*98см.
А. Н. Островский ""Гроза"". Система образов. Л. Н. Толстой ""Война и мир"". Л. Н. Толстой ""Война и мир"" Пути искания смысла жизни Пьером и Князем Андреем. Л. Н. Толстой ""Война и мир"" Кутузов и Наполеон. Л. Н. Толстой ""Война и мир"". Историческая основа романа. И. А. Гончаров ""Обломов"". Особенности композиции романа. И. С. Тургенев ""Отцы и дети"". Особенности композиции романа. И. С. Тургенев ""Отцы и дети"". Особенности идеологического спора в романе. И. С. Тургенев ""Отцы и дети"". Две дуэли в романе. И. С. Тургенев ""Отцы и дети"". Шесть пейзажей в романе. Н. А. Некрасов ""Кому на Руси жить хорошо"". Система образов поэмы. Ф. М. Достоевский ""Преступление и наказание"". Причины преступления Раскольникова.",компл,12,2016,2520,4513.6,680х980,Литература,Бумага,Таблицы,Да,2.17.
283,7393-ФИЛ00029,"Таблицы учебно-демонстрационные ""Литература 11 класс"" ","Учебный альбом из 12 листов. Формат 68*98см.
Психологизм в литературе. Особенности периодизации русской литературы XX века. Особенности русской реалистической прозы начала XX века. Основные направления поэзии серебряного века. М.Горький «На дне». Философский конфликт. Основные мотивы лирики А.Блока. Основные мотивы лирики С.Есенина. Лирический герой поэзии В.Маяковского. М.А.Булгаков ""Мастер и Маргарита"". Композиция романа. М.А.Шолохов ""Тихий Дон"" роман-эпопея. Историческая основа романа. М.А.Шолохов ""Тихий Дон"". Композиция и система образов романа. Тема войны в русской литературе XX века.",компл,12,2016,2520,4513.6,680х980,Литература,Бумага,Таблицы,Да,2.17.
284,6791-ФИЛ00030,"Таблицы учебно-демонстрационные ""Литература 5 класс"" ","Учебный альбом из 12 листов. Формат 68*98см.
Стихотворные размеры. Способы рифмовки. Рифма. Изобразительно-выразительные средства в художественной литературе. Сюжет литературного произведения. Роды литературы. Как строится сказка. Сказки. Устное народное творчество. Литература среди других искусств. Хронологическая лента. Фольклор и литература - два вида словестного искусства.",компл,12,2016,2520,4513.6,680х980,Литература,Бумага,Таблицы,Да,2.17.
285,6792-ФИЛ00031,"Таблицы учебно-демонстрационные ""Литература 6 класс"" 12 шт 68*98","Учебный альбом из 12 листов. Формат 68*98см.

Герои литературного произведения. Роль пейзажа в литературном произведении. Юмор в литературном произведении. Басня как жанр литературы. Баллада как жанр литературы. Особенности древнерусской литературы X-XVII веков. Как подготовиться к пересказу текста. Как подготовиться к выразительному чтению стихотворения. Былина как произведение устного народного творчества. Способы раскрытия характера героя литературного произведения. Жанры древнерусской литературы X-XVII веков. Требования к устному развернутому ответу.",компл,12,2016,2520,4513.6,680х980,Литература,Бумага,Таблицы,Да,2.17.
286,6793-ФИЛ00032,"Таблицы учебно-демонстрационные ""Литература 7 класс"" ","Учебный альбом из 12 листов. Формат 68*98см.

Образ. Характер. Герой. Тема. Идея. Проблема в литературном произведении. Тема. Идея. Проблема в литературном произведении. Баллада в русской и мировой литературе. Историческая основа поэмы М. Ю. Лермонтова ""Песня про царя Ивана Васильевича, молодого опричника и удолого купца Калашникова"". Историческая основа поэмы М. Ю. Лермонтова ""Песня про царя Ивана Васильевича, молодого опричника и удолого купца Калашникова"" словари историзмов и архаизмов. Особенности драммы как рода литературы. Система образов в пьессе Н. В. Гоголя ""Ревизор"". Сказки М. Е. Салтыкова-Щедрина ""Для детей изрядного возраста"". Комическое в литературе. Как писать сочинение по литературе. Как оформлять цитаты в сочинении по литературе.",компл,12,2016,2520,4513.6,680х980,Литература,Бумага,Таблицы,Да,2.17.
287,6794-ФИЛ00033,"Таблицы учебно-демонстрационные ""Литература 8 класс"" ","Учебный альбом из 12 листов. Формат 68*98см.

Основные направления русской литературы XVIII века. Система образов комедии Д. И. Фонвизина ""Недоросль"". Романтизм, как художественное направление. Поэма М. Ю. Лермонтова ""Мцыри"", как романтическое произведение. ""Маленький человек"" в произведениях Н. В. Гоголя. Замысел и историческая основа романа А. С. Пушкина ""Капитанская дочка"". Система образов романа А. С. Пушкина ""Капитанская дочка"". ""Капитанская дочка "" словарь историзмов и архаизмов. Изображение природы в лирике Ф. И. Тютчева и А. А. Фета. Основные мотивы лирики Н. А. Некрасова. Цикл рассказов И. С. Тургенева ""Записки охотника"". Характеристика героя литературного произведения (примерный план).",компл,12,2016,2520,4513.6,680х980,Литература,Бумага,Таблицы,Да,2.17.
288,6796-ФИЛ00034,"Таблицы учебно-демонстрационные ""Литература 9 класс"" ","Учебный альбом из 12 листов. Формат 68*98см.

Литературный процесс. Эпохи развития литературы. Классицизм как литературное направление. Периодизация литературы 19 века. А.С. Грибоедов ""Горе от ума"". Особенности конфликта пьесы. А.С. Грибоедов ""Горе от ума"". Черты классицизма и реализма в комедии. Реализм как литературное направление. Основные мотивы лирики А.с. Пушкина. А.С. Пушкин ""Евгений Онегин"". Система образов. Основные мотивы лирики М.Ю. Лермонтова. М.Ю. Лермонтов ""Герой нашего времени"". Особенности композиции романа. Н.В. Гоголь ""Мертвые души"". Лирические отступления в поэме. Н.В. Гоголь ""Мертвые души"". Система образов поэмы.
",компл,12,2016,2520,4513.6,680х980,Литература,Бумага,Таблицы,Да,2.17.
289,2894-ФИЛ00001,"Комплект Портреты писателей. Предназначены для демонстрации на уроках литературы, истории и МХК (мировая художественная культура) при изучении прозы и поэзии"," Состав комплекта: 37 шт. Ф А3, бумага  4+0. Состав комплекта: 1 Байрон Джордж Гордон. 2 Бальзак Оноре де. 3 Белинский Виссарион Григорьевич. 4 Блок Александр Александрович. 5 Гайдар Аркадий Петрович. 6 Гамзатов Расул Гамзатович. 7 Герцен Александр Иванович. 8 Гете Иоганн Вольфганг фон. 9 Гоголь Николай Васильевич. 10 Гончаров Иван Александрович. 11 Горький Максим (А.М.Пешков). 12 Грибоедов Александр Сергеевич. 13 Державин Гавриил Романович. 14 Добролюбов Николай Александрович. 15 Достоевский Федор Михайлович. 16 Есенин Сергей Александрович. 17 Жуковский Василий Андреевич. 18 Карамзин Николай Михайлович. 19 Кассиль Лев Абрамович. 20 Катаев Валентин Петрович. 21 Крылов Иван Андреевич. 22 Лермонтов Михаил Юрьевич. 23 Маяковский Владимир Владимирович. 24 Мольер Жан Батист. 25 Некрасов Николай Алексеевич. 26 Островский Александр Николаевич. 27 Пушкин Александр Сергеевич. 28 Радищев Александр Николаевич. 29 Рылеев Кондратий Федорович. 30 Салтыков-Щедрин Михаил Евграфович. 31 Толстой Алексей Николаевич. 32 Толстой Лев Николаевич. 33 Тургенев Иван Сергеевич. 34 Фонвизин Денис Иванович. 35 Чехов Антон Павлович. 36 Шекспир Уильям. 37 Шолохов Михаил Александрович.",компл,37,1225,1531.25,2279.2,А3,Литература,Бумага,,Да,2.8.5.
290,SC029-ФИЛ00013,Комплект таблиц Литература. 5 класс,Комплект  из 15 таблиц размером 680х980мм. Состав: 1. Стихотворные размеры;  2. Способы рифмовки;   3. Рифма;   4. Изобразительно-выразительные средства;  5. Сюжет и композиция литературного произведения;   6. Роды литературы;   7. Как строится сказка;  8. Какие бывают сказки;   9. Фольклор и литература;  10. Устное народное творчество;   11. Литература среди других искусств;  12. Хронология жизни и творчества русских писателей;  13. Фрагменты литературных произведений: А.С. Пушкин «Сказка о мёртвой  царевне и о семи богатырях» Н.А. Некрасов «Однажды в студеную зимнюю пору…»Н.В. Гоголь «Ночь перед Рождеством» И.С. Тургенев «Муму». 14. Основные темы и мотивы стихотворений.15. Сказки народов мира.,компл,15,2625,3281.25,5622.4,680х980,Литература,Бумага,Таблицы,,2.17.
291,SC030-ФИЛ00014,Комплект таблиц  Литература. 6 класс,Комплект  из 15 таблиц размером 680х980мм. Состав: 1. Герой литературного произведения;  2. Роль пейзажа в литературном произведении;  3. Юмор в литературном произведении;  4. Басня как жанр литературы;  5. Баллада как жанр литературы;  6. Особенности древнерусской литературы;  7. Как пересказать текст произведения;  8. Как читать стихотворение выразительно;  9. Требования к устному развернутому ответу по литературе;  10. Былина как произведение устного народного творчества; 11. Способы раскрытия характера героя;  12. Жанры древнерусской литературы;  13. Фрагменты литературных произведений: А.С. Пушкин «Зимнее утро» А.С. Пушкин «Зимняя дорога» А.С. Пушкин «Дубровский» И.С. Тургенев «Бежин луг» М.М. Пришвин «Кладовая солнца».14. Изучение литературных героев и их роли в создании сюжетов.15. Изучение поэтического языка и создание своих стихотворений.,компл,15,2625,3281.25,5622.4,680х980,Литература,Бумага,Таблицы,,2.17.
292,SC031-ФИЛ00015,Комплект таблиц  Литература. 7 класс,"Комплект  из 15 таблиц размером 680х980мм. Состав: 1. Образ – характер – герой;  2. Тема – идея – проблема в литературном произведении;  3. Героический эпос в русской и мировой литературе;  4. Баллада в русской и мировой литературе;  5. Историческая основа;  6.Словарь историзмов и архаизмов;  7. Особенности драмы как рода литературы;  8. Система образов пьесы Н.В. Гоголя «Ревизор»;  9. Сказки М.Е. Салтыкова-Щедрина; 10. Комическое в литературе;  11. Как писать сочинение по литературе;  12. Как оформлять цитаты в сочинении по литературе; 13. Фрагменты литературных произведений: М.Ю. Лермонтов «Песня про царя Ивана Васильевича, молодого опричника и удалого купца Калашникова» Н.В. Гоголь «Ревизор» М.Е. Салтыков-Щедрин «Повесть о том, как один мужик двух генералов прокормил» А.П. Чехов «Хамелеон» В.В. Маяковский «Хорошее отношение к лошадям».14. Анализирование стилевых особенностей текста.15. Различия между первым и третьим лицом повествования.  ",компл,15,2625,3281.25,5622.4,680х980,Литература,Бумага,Таблицы,,2.17.
293,SC032-ФИЛ00016,Комплект таблиц  Литература. 8 класс,"Комплект  из 15 таблиц размером 680х980мм. Состав: 1. Основные направления русской литературы XVIII века;  2. Система образов комедии Д.И. Фонвизина;  3. Романтизм как литературное направление;  4. Поэма М.Ю. Лермонтова как романтическое произведение;  5. «Маленький человек» в произведениях Н.В. Гоголя;  6. Историческая основа романа А.С. Пушкина; 7. Система образов романа А.С. Пушкина;  8. Словарь историзмов и архаизмов;  9. Изображение природы в лирике Ф.И. Тютчева и А.А. Фета;  10. Основные мотивы лирики Н.А. Некрасова;  11. Цикл рассказов И.С. Тургенева;  12. Характеристика героя литературного произведения;  13. Фрагменты литературных произведений: Д.И. Фонвизин «Недоросль» Н.М. Карамзин «Бедная Лиза» М.В. Ломоносов «Ода на день восшествия на Всероссийский престол Ея Величества Государыни Императрицы Елисаветы Петровны 1747 года» М.Ю. Лермонтов «Мцыри» Н.В. Гоголь «Шинель» А.С. Пушкин «Капитанская дочка»..Романы XIX века: «Война и мир» Л. Толстого, «Мёртвые души» Н. Гоголя.14. Романы XIX века 15. Литературный анализ произведений зарубежных авторов: Р. Брэдбери ""451 градус по Фаренгейту"", Д. Оруэлл ""1984"", Дж. Селинджер ""Над пропастью во ржи"".",компл,15,2625,3281.25,5622.4,680х980,Литература,Бумага,Таблицы,,2.17.
294,SC033-ФИЛ00017,Комплект таблиц Литература. 9 класс,"Комплект  из 15 таблиц размером 680х980мм. Состав: 1. Литературный процесс. Эпохи развития литературы;  2. Классицизм как литературное направление;  3. Периодизация литературы XIX века;  4. А.С. Грибоедов «Горе от ума». Особенности конфликта пьесы;  5. А.С. Грибоедов «Горе от ума». Классицизм – романтизм – реализм;  6. Реализм как литературное направление;  7. Основные мотивы лирики А.С. Пушкина;  8. А.С. Пушкин «Евгений Онегин». Система образов;  9. Основные мотивы лирики М.Ю. Лермонтова;  10. М.Ю. Лермонтов «Герой нашего времени». Особенности композиции;  11. Н.В. Гоголь «Мертвые души». Авторские отступления в поэме; 12. Н.В. Гоголь «Мертвые души». Система образов поэмы;  13. Фрагменты литературных произведений: А.С. Грибоедов «Горе от ума»Речь по поводу открытия памятника А.С. Пушкину в Москве. Автор Иван Сергеевич Тургенев, 6-8 июня 1880 г. Ф.Д. Достоевский «Пушкин». Произнесено 8 июня 1880 года в заседании Общества любителей российской словесности А.С. Пушкин «Евгений Онегин» М.Ю. Лермонтов «Герой нашего времени» Н.В. Гоголь «Мёртвые души»14. Изучение и анализ романа ""Мастер и Маргарита"" М.А. Булгакова15. Анализ произведения ""Герой нашего времени"" М.Ю. Лермонтова.",компл,15,2625,3281.25,5622.4,680х980,Литература,Бумага,Таблицы,,2.17.
295,6795-ФИЛ00035,"Таблицы демонстрационные ""Литература 5-11 классы"" Учебный альбом.","Учебный альбом из 20 листов. Формат 68*98см.

Художественные системы в литературе. Реализм. Принципы ритмической организации стихотворных произведений. Изобразительно-выразительные средства языка. Стилистические фигуры. Роды литературы. Изобразительно-выразительные средства языка.Тропы. Классицизм. Сентиментализм. Романтизм. Модернизм. Стихосложение (Версификация). Рифма. Строфа. Виды строф в лирике. Твердые стихотворные формы. Жанры лирики. Лирический герой. Темы и мотивы в лирике.",компл,20,3360,4200,7492.8,680х980,Литература,Бумага,Таблицы,Да,2.17.
296,SC134-ФИЛ00023,Комплект таблиц Литература 5-11 класс,"Комплект таблиц  размером 680х980мм. Состав: 5 класс 1) Изобразительно-выразительные средства в художественной литературе      2) Как строится сказка      3) Литература среди других искусств      4) Рифма      5) Роды литературы      6) Сказки      7) Способы рифмовки     8) Стихотворные размеры      9) Сюжет литературного произведения      10) Устное народное творчество      11) Фольклор и литература - два вида словесного искусства      12) Хронологическая лента  6 класс 1) Баллада как жанр литературы      2) Басня как жанр литературы      3) Былина как произведение устного народного творчества      4) Герой литературного произведения      5) Жанры древнерусской литературы      6) Как подготовиться к выразительному чтению стихотворения      7) Как подготовиться к пересказу текста      8) Особенности древнерусской литературы      9) Роль пейзажа в литературном произведении      10) Способы раскрытия характера героя литературного произведения      11) Требования к устному развернутому ответу      12) Юмор в литературном произведении  7 класс 1) Баллада в русской и мировой литературе      2) Былина как произведение устного народного творчества      3) Жанры древнерусской литературы      4) Историческая основа поэмы М.Ю. Лермонтова песня про царя...      5) Как оформлять цитаты в сочинении по литературе      6) Комическое в литературе      7) Образ. Характер. Герой      8) Основные направления русской      9) Особенности драмы как рода литературы      10) Роды литературы      11) Система образов в пьесе Н.В. Гоголя ""Ревизор""      12) Тема. Идея. Проблема в литературном произведении  8 класс 1) «Капитанская дочка» словарь историзмов и архаизмов      2) «Маленький человек» в произведениях Н.В. Гоголя      3) Замысел и историческая основа романа А.С. Пушкина ""Капитанская дочка""      4) Изображение природы в лирике Тютчева и Фета      5) Основные мотивы лирики Н.А. Некрасова     6) Поэма М.Ю. Лермонтова «Мцыри» как романтическое произведение      7) Романтизм как художественное направление      8) Система образов комедии Д.И. Фонвизина ""Недоросль""      9) Система образов романа А.С. Пушкина ""Капитанская дочка""      10) Характеристика героя литературного произведения      11) Цикл рассказов И.С. Тургенева ""Записки охотника""  9 класс 1) А. С. Грибоедов «Горе от ума» черты классицизма и реализма в комедии      2) А.С. Грибоедов «Горе от ума» особенности конфликта пьесы      3) А.С. Пушкин «Евгений Онегин». Система образов      4) Литературный процесс. Эпохи развития литературы     5) М.Ю. Лермонтов «Герой нашего времени». Особенности композиции романа      6) Н.В. Гоголь «Мертвые души» лирические отступления в поэме      7) Основные мотивы лирики А.С. Пушкина      8) Периодизация литературы девятнадцатого века      9) Реализм как литературное направление  10 класс 1) А.Н. Островский «Гроза». Система образов драмы      2) И.А. Гончаров «Обломов» особенности композиции романа      3) И.С. Тургенев «Отцы и дети» вопросы идеологического спора в романе      4) И.С. Тургенев «Отцы и дети» две дуэли в романе      5) И.С. Тургенев «Отцы и дети» особенности композиции романа      6) И.С. Тургенев «Отцы и дети» шесть пейзажей в романе      7) Л.Н. Толстой «Война и мир». Кутузов и Наполеон      8) Н.А. Некрасов ""Кому на Руси жить хорошо"" система образов романа      9) Ф.М. Достоевский ""Преступление и наказание"" причины преступления Раскольникова  11 класс 1) Лирический герой поэзии В. Маяковского      2) М. Горький «На дне». Философский конфликт      3) М.А. Булгаков «Мастер и Маргарита». Композиция романа      4) М.А. Шолохов «Тихий дон». Историческая основа романа      5) Основные мотивы лирики А.блока     6) Основные мотивы лирики С.Есенина      7) Основные направления поэзии Серебряного века      8) Особенности периодизации русской литературы двадцатого века      9) Особенности русской реалистической прозы начала двадцатого века      10) Психологизм в литературе      11) Тема войны в русской литературе двадцатого века      12) Художественные системы в литературе   Общие 1) Виды строф в лирике 1      2) Виды строф в лирике 2      3) Жанры лирики 1      4) Жанры лирики 2      5) Изобразительно-выразительные средства языка. Стилистические фигуры      6) Изобразительно-выразительные средства языка. 1      7) Изобразительно-выразительные средства языка. 2      8) Классицизм      9) Лирический герой      10) Модернизм      11) Принципы ритмической организации стихотворных произведений      12) Реализм      13) Рифма      14) Роды литературы      15) Романтизм      16) Сентиментализм      17) Стихосложение (версификация)      18) Строфа 19) Твердые стихотворные формы 20) Темы и мотивы в лирике 21) Художественные системы в литературе",компл,98,16464,20580,37044,680х980,Литература,Бумага,Таблицы,,2.17.
297,SC270-ФИЛ00042,Комплект таблиц Литература 10 класс,"Комплект таблиц  размером 680х980мм. Состав: 1 А.Н. Островский ""Гроза"". Система образов драмы 2 Л.Н. Толстой ""Война и мир"" 3 И.С. Тургенев ""Отцы и дети"" особенности композиции романа 4 И.С. Тургенев ""Отцы и дети"" вопросы идеологического спора в романе 5 И.С. Тургенев ""Отцы и дети"" две дуэли в романе 6 И.С. Тургенев ""Отцы и дети"" шесть пейзажей в романе 7 Н.А. Некрасов ""Кому на Руси жить хорошо"" система образов поэмы 8 Ф.М. Достоевский ""Преступление и наказание"" причины преступления Раскольникова 9 Л.Н. Толстой ""Война и мир"" историческая основа романа 10 Л.Н. Толстой ""Война и мир"" Кутузов и Наполеон 11 Л.Н. Толстой ""Война и мир"" пути искания смысла жихни Пьером и князем Андреем 12 И.А. Гончаров ""Обломов"" особенности композиции романа",компл,12,2016,2520,4513.6,680х980,Литература,Бумага,Таблицы,,2.17.
298,SC271-ФИЛ00043,Комплект таблиц Литература 11 класс,Комплект таблиц  размером 680х980мм. Состав: 1 Булгаков Мастер и Маргарита 2 Горький На дне философский конфликт 3 Лирический героизм Маяковского 4 Основные мотивы лирики Блока 5 Основные мотивы лирики Есенина 6 Основные направления поэзии серебряного века 7 Особенности  русской реалистической прозы 20 века 8 Особенности периодизации русской литературы 20 века 9 Психологизм в литературе 10 Тема войны в русской литературе 20 века 11 Художественные системы в литературе 12 Шолохов Тихий дон историческая основа романа 13 Шолохов Тихий дон,компл,13,2184,2730,4883.2,680х980,Литература,Бумага,Таблицы,,2.17.
299,,ИНОСТРАННЫЙ ЯЗЫК,,,,,,,,Ин. Яз.,,,,
300,6504-ФИЛ00026,"Таблицы демонстрационные ""Основная грамматика немецкого языка"" ","Учебный альбом из 16 листов. Формат 68*98 см.

Артикль. Наиболее употребительные союзы и союзные слова. Определение рода имен существительных по суффиксу. Определение рода имен существительных по значению. Образование множественного числа имен существительных. Сильное склонение имен существительных. Слабое склонение имен существительных. Склонение имен существительных женского рода. Слабое склонение имен прилагательных. Сильное склонение имен прилагательных. Смешаное склонение имен прилагательных. Степени сравнения имен прилагательных. Склонение личных местоимений. Предлоги. Наиболее употребительные глаголы сильного спряжения. Наиболее упетребительные глаголы неправильного спряжения.",компл,16,2688,3360,6003.2,680х980,Ин. Яз.,Бумага,Таблицы,Да,2.17.
301,178-ФИЛ00024,"Таблицы демонстрационные ""Основная грамматика английского языка""","Учебный альбом из 16 листов. Формат 68*98 см.

Modal Verbs: can, may (might), must. Tenses. Tenses, passive voice. To be. There is / are. Adjectives, degrees of comparison. Preposition. Pronouns. Indefinite, negative pronouns. Interrogative pronouns. Numerals. Word formation 1. Word formation 2. Direct and indirect speech. Interrogative sentences. Irregular verbs.",компл,16,2688,3360,6003.2,680х980,Ин. Яз.,Бумага,Таблицы,Да,2.17.
302,7136-ФИЛ00023,"Таблицы демонстрационные ""Времена английского глагола"" (средняя школа)","Учебный альбом из 10 листов. Формат 68х98 см.

Неправильные глаголы 1. Неправильные глаголы 2. Present Perfect 1. Present Perfect 2. Past simple. Present Perfect. Present progressive (Present continuous) 1. Present progressive (Present continuous) 2. Present perfect progressive 1. Present perfect progressive 2. Past perfect.",компл,10,1680,2100,3752,680х980,Ин. Яз.,Бумага,Таблицы,Да,2.17.
303,777-ФИЛ00035,Учебно-демонстрационные таблицы «Страдательный залог. Сложное дополнение. Косвенная речь» ,"Учебное пособие из 9 листов. Размер 68х98 см
Состав:
Страдательный залог 1.
Страдательный залог 2.
Сложное дополнение 1.
Сложное дополнение 2.
Согласование времен. Косвенная речь 1.
Косвенная речь 2.
Специальные вопросы в косвенной речи.
Общие вопросы в косвенной речи.",компл,9,1512,1890,3382.4,680х980,Ин. Яз.,Бумага,Таблицы,,2.17.
304,777-ФИЛ00036,Учебно-демонстрационные таблицы «Типы вопросов. Английский язык» ,"Учебное пособие из 6 листов. Размер 68х98 см
В составе комплекта таблицы по следующими темам:
Типы вопросов.
Специальные вопросы.
Разделительные вопросы 1.
Разделительные вопросы 2.
Разделительные вопросы 3.
Особенности перевода предложений.",компл,6,1008,1260,2262.4,680х980,Ин. Яз.,Бумага,Таблицы,,2.17.
305,777-ФИЛ00041,Таблицы Грамматика англ яз 5-11 класс,Комплект из 32 таблиц. Формат А1.,компл,32,4800,6000,14515.2,А1,Ин. Яз.,Бумага,Таблицы,,2.17.
306,777-ФИЛ00042,Комплект таблиц по английскому языку. Вопросительные и отрицательные предложения Начальная школа.,"Комплект из 8 таблиц. Размер 68х98 см.
Состав:
Общий вопрос.
Краткие ответы.
Общие и альтернативные вопросы.
Вопрсительные слова.
Специальный вопрос.
Вопрос к подлежащему.
Ответ на вопрос к подлежащему.
Отрицательные предложения.",компл,8,1344,1680,3012.8,680х980,Ин. Яз.,Бумага,Таблицы,,2.17.
307,777-ФИЛ00043,Комплект таблиц «Существительные. Прилагательные.Числительные. Английский язык в начальной школе»,"Комплект из 9 таблиц. Размер 68х98 см.
Состав:
Множественное число существительных 1.
Множественное число существительных 2.
Притяжательный падеж существительных.
Личные и притяжательные местоимения.
Указательные местоимения.
Степени сравнения прилагательных 1.
Степени сравнения прилагательных 2.
Исчисляемые и неисчисляемые существительные.
Числительные.",компл,9,1512,1890,3382.4,680х980,Ин. Яз.,Бумага,Таблицы,,2.17.
308,777-ФИЛ00144,Учебно-наглядные таблицы раздаточные «Времена английского глагола (средняя школа)» ,"Комплект из 10 таблиц 4+4. Формат А4, ламинация
В составе учебного пособия таблицы по следующим темам:
Неправильные глаголы 1.
Неправильные глаголы 2.
Present Perfect 1.
Present Perfect 2.
Past simple. Present Perfect.
Present progressive (Present continuous) 1.
Present progressive (Present continuous) 2.
Present perfect progressive 1.
Present perfect progressive 2.
Past perfect.",компл,10,300,375,675,А4,Ин. Яз.,Бумага,Таблицы,,2.17.
309,777-ФИЛ00037,Учебно-демонстрационные таблицы по английскому языку «Существительное. Местоимение. Наречие» ,"Учебное пособие из 9 листов. Размер 68х98 см.
В составе комплекта таблицы по следующим темам:
Множественное число существительных.
Местоимения 1.
Местоимения 2.
Some/any.
Наречия.
Существительные, употребляющиеся только в единственном числе 1.
Существительные, употребляющиеся только в единственном числе 2.
Много - мало.
Мало - немного.",компл,9,1512,1890,3382.4,680х980,Ин. Яз.,Бумага,Таблицы,,2.17.
310,777-ФИЛ00038,Учебно-наглядная раздаточная таблица «Английский язык- часть 1. Путеводитель» ,"Раздаточные таблицы по английскому языку формата А4, 1 часть. «Путеводитель по частям речи.» Пособие предназначено для использования в качестве раздаточного материала на уроках английского языка. Таблица 4+4 с двухсторонней ламинацией.",компл,Нет,180,138.86,130,А4,Ин. Яз.,Бумага,Таблицы,,2.17.
311,777-ФИЛ00039,Учебно-наглядная раздаточная таблица  «Английский язык- часть 2. Глагол формат А4,"Раздаточные таблицы по английскому языку А4, 2 часть. «Английский глагол.» Пособие предназначено для использования в качестве раздаточного материала на уроках английского языка. Таблица 4+4  с двухсторонней ламинацией.",компл,,180,138.86,130,А4,Ин. Яз.,Бумага,Таблицы,,2.17.
312,777-ФИЛ00040,Учебно-наглядная раздаточная таблица Английский язык- часть 3. Лексика формат А4,Раздаточные таблицы по английскому языку А4. 3 часть. «Словарь повседневного общения.» Пособие предназначено для использования в качестве раздаточного материала на уроках английского языка. Таблица 4+4  с двухсторонней ламинацией.,компл,,180,138.86,130,А4,Ин. Яз.,Бумага,Таблицы,,2.17.
313,777-ФИЛ01142,Учебно-наглядные таблицы раздаточные «Основная грамматика английского языка» ,"Учебный альбом из 16 ламинированных таблиц 4+4. Формат А4. 
Modal Verbs: can, may (might), must. Tenses. Tenses, passive voice. To be. There is / are. Adjectives, degrees of comparison. Preposition. Pronouns. Indefinite, negative pronouns. Interrogative pronouns. Numerals. Word formation 1. Word formation 2. Direct and indirect speech. Interrogative sentences. Irregular verbs.",компл,16,380,475,855,А4,Ин. Яз.,Бумага,Таблицы,,2.17.
314,777-ФИЛ00143,Учебно-наглядные таблицы раздаточные «Английский язык. Существительное. Местоимение. Наречие»,"Комплект из 9 ламинированных таблиц 4+4. Формат А4. 
В составе комплекта таблицы по следующим темам:
Множественное число существительных.
Местоимения 1.
Местоимения 2.
Some/any.
Наречия.
Существительные, употребляющиеся только в единственном числе 1.
Существительные, употребляющиеся только в единственном числе 2.
Много - мало.
Мало - немного.",компл,9,290,362.5,651.6,А4,Ин. Яз.,Бумага,Таблицы,,2.17.
315,777-ФИЛ00045,Учебно-наглядные таблицы раздаточные «Типы вопросов Английский язык» ,"Комплект таблиц из 6 ламинированных таблиц 4+4.Формат А4. 
В составе комплекта таблицы по следующими темам:
Типы вопросов.
Специальные вопросы.
Разделительные вопросы 1.
Разделительные вопросы 2.
Разделительные вопросы 3.
Особенности перевода предложений.",компл,6,260,325,585,А4,Ин. Яз.,Бумага,Таблицы,,2.17.
